sample,read_id,upstream_flank_len,core_repeat_len,downstream_flank_len,total_length,cag_units,caa_units,cga_units,event_count,total_event_bp,frameshift_events,in_frame_events,avg_event_length,oof_patterns
H1,m84137_260214_004236_s1/12256451/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/15207405/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/159450999/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/146081838/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/164431493/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/161023320/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/148570395/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/150276490/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/192351228/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/57279995/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/39913671/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/37224535/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/53543548/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/64686239/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/65668822/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/108725314/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/121897199/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/157156628/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/137366045/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/137560590/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/42012193/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/59379440/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/44963252/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/45552009/ccs,50,135,83,268,45,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/71963575/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/87233487/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/100732930/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/91820406/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/92608343/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/101977613/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/77730077/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/98244117/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/94441199/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/108795828/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/138480752/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/213715410/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/235669334/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/215680791/ccs,50,129,89,268,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/217580832/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/243599124/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/146017508/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/165680841/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
